"Be yourself; everyone else is already taken.","Oscar Wilde"
"Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.","Albert Einstein"
"So many books, so little time.","Frank Zappa"
"A room without books is like a body without a soul.","Marcus Tullius Cicero"
"Be the change that you wish to see in the world.","Mahatma Gandhi"
"In three words I can sum up everything I've learned about life: it goes on.","Robert Frost"
"If you tell the truth, you don't have to remember anything.","Mark Twain"
"To live is the rarest thing in the world. Most people exist, that is all.","Oscar Wilde"
"We accept the love we think we deserve.","Stephen Chbosky"
"Without music, life would be a mistake.","Friedrich Nietzsche"
